pollster,display_name,pollster_rating_id,numeric_grade,pollscore,transparency_score,state,start_date,end_date,sample_size,election_date,party,answer,candidate_name,pct
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Pennsylvania,10/7/24,10/10/24,857,11/5/24,DEM,Harris,Kamala Harris,50
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Pennsylvania,10/7/24,10/10/24,857,11/5/24,REP,Trump,Donald Trump,47
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Pennsylvania,10/7/24,10/10/24,857,11/5/24,DEM,Harris,Kamala Harris,49
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Pennsylvania,10/7/24,10/10/24,857,11/5/24,REP,Trump,Donald Trump,45
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Pennsylvania,10/7/24,10/10/24,857,11/5/24,GRE,Stein,Jill Stein,2
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Pennsylvania,10/7/24,10/10/24,857,11/5/24,LIB,Oliver,Chase Oliver,1
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Pennsylvania,10/7/24,10/10/24,857,11/5/24,DEM,Harris,Kamala Harris,50
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Pennsylvania,10/7/24,10/10/24,857,11/5/24,REP,Trump,Donald Trump,47
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Pennsylvania,10/7/24,10/10/24,857,11/5/24,DEM,Harris,Kamala Harris,49
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Pennsylvania,10/7/24,10/10/24,857,11/5/24,REP,Trump,Donald Trump,45
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Pennsylvania,10/7/24,10/10/24,857,11/5/24,GRE,Stein,Jill Stein,1
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Pennsylvania,10/7/24,10/10/24,857,11/5/24,LIB,Oliver,Chase Oliver,0
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Arizona,10/7/24,10/10/24,808,11/5/24,DEM,Harris,Kamala Harris,46
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Arizona,10/7/24,10/10/24,808,11/5/24,REP,Trump,Donald Trump,51
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Arizona,10/7/24,10/10/24,808,11/5/24,DEM,Harris,Kamala Harris,45
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Arizona,10/7/24,10/10/24,808,11/5/24,REP,Trump,Donald Trump,50
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Arizona,10/7/24,10/10/24,808,11/5/24,GRE,Stein,Jill Stein,1
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Arizona,10/7/24,10/10/24,808,11/5/24,LIB,Oliver,Chase Oliver,0
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Arizona,10/7/24,10/10/24,808,11/5/24,DEM,Harris,Kamala Harris,45
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Arizona,10/7/24,10/10/24,808,11/5/24,REP,Trump,Donald Trump,51
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Arizona,10/7/24,10/10/24,808,11/5/24,DEM,Harris,Kamala Harris,44
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Arizona,10/7/24,10/10/24,808,11/5/24,REP,Trump,Donald Trump,49
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Arizona,10/7/24,10/10/24,808,11/5/24,GRE,Stein,Jill Stein,2
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Arizona,10/7/24,10/10/24,808,11/5/24,LIB,Oliver,Chase Oliver,1
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Montana,10/5/24,10/8/24,656,11/5/24,DEM,Harris,Kamala Harris,39
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Montana,10/5/24,10/8/24,656,11/5/24,REP,Trump,Donald Trump,57
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Montana,10/5/24,10/8/24,656,11/5/24,DEM,Harris,Kamala Harris,38
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Montana,10/5/24,10/8/24,656,11/5/24,REP,Trump,Donald Trump,56
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Montana,10/5/24,10/8/24,656,11/5/24,GRE,Stein,Jill Stein,0
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Montana,10/5/24,10/8/24,656,11/5/24,LIB,Oliver,Chase Oliver,0
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Montana,10/5/24,10/8/24,656,11/5/24,DEM,Harris,Kamala Harris,40
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Montana,10/5/24,10/8/24,656,11/5/24,REP,Trump,Donald Trump,57
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Montana,10/5/24,10/8/24,656,11/5/24,DEM,Harris,Kamala Harris,39
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Montana,10/5/24,10/8/24,656,11/5/24,REP,Trump,Donald Trump,56
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Montana,10/5/24,10/8/24,656,11/5/24,GRE,Stein,Jill Stein,0
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Montana,10/5/24,10/8/24,656,11/5/24,LIB,Oliver,Chase Oliver,0
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Florida,9/29/24,10/6/24,622,11/5/24,DEM,Harris,Kamala Harris,41
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Florida,9/29/24,10/6/24,622,11/5/24,REP,Trump,Donald Trump,55
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Florida,9/29/24,10/6/24,622,11/5/24,DEM,Harris,Kamala Harris,40
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Florida,9/29/24,10/6/24,622,11/5/24,REP,Trump,Donald Trump,53
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Florida,9/29/24,10/6/24,622,11/5/24,GRE,Stein,Jill Stein,0
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Florida,9/29/24,10/6/24,622,11/5/24,LIB,Oliver,Chase Oliver,0
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Florida,9/29/24,10/6/24,622,11/5/24,DEM,Harris,Kamala Harris,41
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Florida,9/29/24,10/6/24,622,11/5/24,REP,Trump,Donald Trump,54
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Florida,9/29/24,10/6/24,622,11/5/24,DEM,Harris,Kamala Harris,40
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Florida,9/29/24,10/6/24,622,11/5/24,REP,Trump,Donald Trump,53
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Florida,9/29/24,10/6/24,622,11/5/24,GRE,Stein,Jill Stein,0
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Florida,9/29/24,10/6/24,622,11/5/24,LIB,Oliver,Chase Oliver,1
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Texas,9/29/24,10/4/24,617,11/5/24,DEM,Harris,Kamala Harris,44
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Texas,9/29/24,10/4/24,617,11/5/24,REP,Trump,Donald Trump,50
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Texas,9/29/24,10/4/24,617,11/5/24,DEM,Harris,Kamala Harris,42
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Texas,9/29/24,10/4/24,617,11/5/24,REP,Trump,Donald Trump,49
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Texas,9/29/24,10/4/24,617,11/5/24,GRE,Stein,Jill Stein,2
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Texas,9/29/24,10/4/24,617,11/5/24,LIB,Oliver,Chase Oliver,2
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Texas,9/29/24,10/4/24,617,11/5/24,DEM,Harris,Kamala Harris,44
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Texas,9/29/24,10/4/24,617,11/5/24,REP,Trump,Donald Trump,50
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Texas,9/29/24,10/4/24,617,11/5/24,DEM,Harris,Kamala Harris,41
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Texas,9/29/24,10/4/24,617,11/5/24,REP,Trump,Donald Trump,48
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Texas,9/29/24,10/4/24,617,11/5/24,GRE,Stein,Jill Stein,2
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Texas,9/29/24,10/4/24,617,11/5/24,LIB,Oliver,Chase Oliver,3
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Nebraska CD-2,9/24/24,9/26/24,680,11/5/24,DEM,Harris,Kamala Harris,51
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Nebraska CD-2,9/24/24,9/26/24,680,11/5/24,REP,Trump,Donald Trump,42
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Nebraska CD-2,9/24/24,9/26/24,680,11/5/24,DEM,Harris,Kamala Harris,49
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Nebraska CD-2,9/24/24,9/26/24,680,11/5/24,REP,Trump,Donald Trump,41
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Nebraska CD-2,9/24/24,9/26/24,680,11/5/24,GRE,Stein,Jill Stein,2
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Nebraska CD-2,9/24/24,9/26/24,680,11/5/24,LIB,Oliver,Chase Oliver,2
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Nebraska CD-2,9/24/24,9/26/24,680,11/5/24,DEM,Harris,Kamala Harris,52
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Nebraska CD-2,9/24/24,9/26/24,680,11/5/24,REP,Trump,Donald Trump,43
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Nebraska CD-2,9/24/24,9/26/24,680,11/5/24,DEM,Harris,Kamala Harris,51
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Nebraska CD-2,9/24/24,9/26/24,680,11/5/24,REP,Trump,Donald Trump,42
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Nebraska CD-2,9/24/24,9/26/24,680,11/5/24,GRE,Stein,Jill Stein,2
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Nebraska CD-2,9/24/24,9/26/24,680,11/5/24,LIB,Oliver,Chase Oliver,1
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Michigan,9/21/24,9/26/24,688,11/5/24,DEM,Harris,Kamala Harris,45
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Michigan,9/21/24,9/26/24,688,11/5/24,REP,Trump,Donald Trump,47
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Michigan,9/21/24,9/26/24,688,11/5/24,DEM,Harris,Kamala Harris,43
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Michigan,9/21/24,9/26/24,688,11/5/24,REP,Trump,Donald Trump,46
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Michigan,9/21/24,9/26/24,688,11/5/24,GRE,Stein,Jill Stein,2
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Michigan,9/21/24,9/26/24,688,11/5/24,LIB,Oliver,Chase Oliver,2
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Michigan,9/21/24,9/26/24,688,11/5/24,DEM,Harris,Kamala Harris,48
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Michigan,9/21/24,9/26/24,688,11/5/24,REP,Trump,Donald Trump,47
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Michigan,9/21/24,9/26/24,688,11/5/24,DEM,Harris,Kamala Harris,46
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Michigan,9/21/24,9/26/24,688,11/5/24,REP,Trump,Donald Trump,46
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Michigan,9/21/24,9/26/24,688,11/5/24,GRE,Stein,Jill Stein,2
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Michigan,9/21/24,9/26/24,688,11/5/24,LIB,Oliver,Chase Oliver,1
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Ohio,9/21/24,9/26/24,687,11/5/24,DEM,Harris,Kamala Harris,45
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Ohio,9/21/24,9/26/24,687,11/5/24,REP,Trump,Donald Trump,49
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Ohio,9/21/24,9/26/24,687,11/5/24,DEM,Harris,Kamala Harris,44
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Ohio,9/21/24,9/26/24,687,11/5/24,REP,Trump,Donald Trump,47
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Ohio,9/21/24,9/26/24,687,11/5/24,GRE,Stein,Jill Stein,2
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Ohio,9/21/24,9/26/24,687,11/5/24,LIB,Oliver,Chase Oliver,2
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Ohio,9/21/24,9/26/24,687,11/5/24,DEM,Harris,Kamala Harris,44
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Ohio,9/21/24,9/26/24,687,11/5/24,REP,Trump,Donald Trump,50
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Ohio,9/21/24,9/26/24,687,11/5/24,DEM,Harris,Kamala Harris,43
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Ohio,9/21/24,9/26/24,687,11/5/24,REP,Trump,Donald Trump,49
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Ohio,9/21/24,9/26/24,687,11/5/24,GRE,Stein,Jill Stein,2
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Ohio,9/21/24,9/26/24,687,11/5/24,LIB,Oliver,Chase Oliver,2
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Wisconsin,9/21/24,9/26/24,680,11/5/24,DEM,Harris,Kamala Harris,49
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Wisconsin,9/21/24,9/26/24,680,11/5/24,REP,Trump,Donald Trump,47
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Wisconsin,9/21/24,9/26/24,680,11/5/24,DEM,Harris,Kamala Harris,48
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Wisconsin,9/21/24,9/26/24,680,11/5/24,REP,Trump,Donald Trump,45
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Wisconsin,9/21/24,9/26/24,680,11/5/24,GRE,Stein,Jill Stein,1
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Wisconsin,9/21/24,9/26/24,680,11/5/24,LIB,Oliver,Chase Oliver,2
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Wisconsin,9/21/24,9/26/24,680,11/5/24,DEM,Harris,Kamala Harris,49
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Wisconsin,9/21/24,9/26/24,680,11/5/24,REP,Trump,Donald Trump,47
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Wisconsin,9/21/24,9/26/24,680,11/5/24,DEM,Harris,Kamala Harris,48
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Wisconsin,9/21/24,9/26/24,680,11/5/24,REP,Trump,Donald Trump,46
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Wisconsin,9/21/24,9/26/24,680,11/5/24,GRE,Stein,Jill Stein,1
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Wisconsin,9/21/24,9/26/24,680,11/5/24,LIB,Oliver,Chase Oliver,2
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Arizona,9/17/24,9/21/24,713,11/5/24,DEM,Harris,Kamala Harris,45
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Arizona,9/17/24,9/21/24,713,11/5/24,REP,Trump,Donald Trump,49
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Arizona,9/17/24,9/21/24,713,11/5/24,DEM,Harris,Kamala Harris,45
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Arizona,9/17/24,9/21/24,713,11/5/24,REP,Trump,Donald Trump,50
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Arizona,9/17/24,9/21/24,713,11/5/24,DEM,Harris,Kamala Harris,42
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Arizona,9/17/24,9/21/24,713,11/5/24,REP,Trump,Donald Trump,47
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Arizona,9/17/24,9/21/24,713,11/5/24,GRE,Stein,Jill Stein,2
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Arizona,9/17/24,9/21/24,713,11/5/24,LIB,Oliver,Chase Oliver,3
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Arizona,9/17/24,9/21/24,713,11/5/24,DEM,Harris,Kamala Harris,43
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Arizona,9/17/24,9/21/24,713,11/5/24,REP,Trump,Donald Trump,48
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Arizona,9/17/24,9/21/24,713,11/5/24,GRE,Stein,Jill Stein,2
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Arizona,9/17/24,9/21/24,713,11/5/24,LIB,Oliver,Chase Oliver,2
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Georgia,9/17/24,9/21/24,682,11/5/24,DEM,Harris,Kamala Harris,44
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Georgia,9/17/24,9/21/24,682,11/5/24,REP,Trump,Donald Trump,48
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Georgia,9/17/24,9/21/24,682,11/5/24,DEM,Harris,Kamala Harris,45
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Georgia,9/17/24,9/21/24,682,11/5/24,REP,Trump,Donald Trump,49
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Georgia,9/17/24,9/21/24,682,11/5/24,DEM,Harris,Kamala Harris,43
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Georgia,9/17/24,9/21/24,682,11/5/24,REP,Trump,Donald Trump,46
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Georgia,9/17/24,9/21/24,682,11/5/24,GRE,Stein,Jill Stein,2
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Georgia,9/17/24,9/21/24,682,11/5/24,LIB,Oliver,Chase Oliver,2
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Georgia,9/17/24,9/21/24,682,11/5/24,DEM,Harris,Kamala Harris,44
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Georgia,9/17/24,9/21/24,682,11/5/24,REP,Trump,Donald Trump,47
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Georgia,9/17/24,9/21/24,682,11/5/24,GRE,Stein,Jill Stein,1
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,Georgia,9/17/24,9/21/24,682,11/5/24,LIB,Oliver,Chase Oliver,2
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,North Carolina,9/17/24,9/21/24,682,11/5/24,DEM,Harris,Kamala Harris,47
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,North Carolina,9/17/24,9/21/24,682,11/5/24,REP,Trump,Donald Trump,48
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,North Carolina,9/17/24,9/21/24,682,11/5/24,DEM,Harris,Kamala Harris,47
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,North Carolina,9/17/24,9/21/24,682,11/5/24,REP,Trump,Donald Trump,49
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,North Carolina,9/17/24,9/21/24,682,11/5/24,DEM,Harris,Kamala Harris,46
Siena/NYT,The New York Times/Siena College,448,3,-1.5,9,North Carolina,9/17/24,9/21/24,682,11/5/24,REP,Trump,Donald Trump,46
